[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:36 - Column size: 4, Row size: 4
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=194, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=194, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=261, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=261, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=496, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=496, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=401, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=401, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=361, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=361, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=915, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=915, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=291, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=291, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=927, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=927, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=79, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=79, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=297, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=297, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=989, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=989, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=438, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=438, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=648, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=648, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=971, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=971, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=974, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=974, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:43 - Expected: Cell [value=495, changable=true]
[DEBUG] 2019-06-14 22:12:27 [main] CubeMatrixTest:44 - In cube matrix: Cell [value=495, changable=true]
[DEBUG] 2019-06-14 22:13:16 [main] DataToCubeMatrixConverterTest:84 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:13:16 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:13:16 [main] DataToCubeMatrixConverterTest:84 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:13:16 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:13:16 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:13:16 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:13:16 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:13:16 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:15:02 [main] DataToCubeMatrixConverterTest:84 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:15:02 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:15:02 [main] DataToCubeMatrixConverterTest:84 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:15:02 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:15:02 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:15:02 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:15:02 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:15:02 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:84 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:84 - Expected cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:85 - Cell: Cell [value=5, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:68 - Cell: Cell [value=1, changable=true]
[DEBUG] 2019-06-14 22:17:07 [main] DataToCubeMatrixConverterTest:67 - Expected cell: Cell [value=5, changable=true]
